age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,prénom,téléphone
34,blue-collar,single,secondary,no,203,yes,no,unknown,30,may,63,2,355,0,unknown,caprina,3358284
29,self-employed,single,tertiary,no,981,no,no,cellular,7,may,225,1,-1,0,success,cierra,3359827
34,admin.,married,tertiary,no,7832,no,no,cellular,6,aug,378,2,-1,0,unknown,isador,3350559
27,technician,married,secondary,no,0,yes,yes,cellular,29,jul,473,2,-1,0,unknown,greig,3357917
44,services,married,tertiary,no,1125,yes,no,cellular,19,aug,122,5,234,0,unknown,alton,3350833
33,blue-collar,divorced,tertiary,no,405,yes,yes,unknown,8,jan,66,2,-1,0,other,ludovic,3358956
25,blue-collar,married,tertiary,no,49,no,no,cellular,19,nov,136,2,92,0,unknown,sofie,3353921
28,management,single,tertiary,no,715,yes,no,unknown,6,may,454,6,190,0,unknown,graziana,3353912
51,technician,single,tertiary,no,2994,no,yes,cellular,28,jun,53,2,-1,4,unknown,gotthard,3358390
39,technician,single,tertiary,no,1859,no,no,cellular,8,nov,196,1,-1,0,unknown,alina (1),3356348
35,management,divorced,secondary,no,13,no,no,cellular,8,may,209,1,278,0,failure,lazar,3360346
43,management,married,primary,no,1143,no,no,cellular,22,jul,728,1,90,0,unknown,lutz,3359901
34,technician,married,secondary,no,86,no,no,cellular,31,aug,1152,3,-1,6,failure,mihaita,3354771
41,technician,single,primary,no,2282,no,no,telephone,20,sep,396,1,92,0,unknown,conchita,3353419
31,self-employed,single,secondary,no,307,yes,no,cellular,13,jun,123,4,-1,0,unknown,kamala,3358114
52,self-employed,married,secondary,no,24,yes,no,unknown,11,apr,257,1,-1,0,unknown,trudy,3359150
44,management,divorced,tertiary,no,0,yes,no,cellular,9,nov,99,2,-1,0,unknown,deven,3359597
58,blue-collar,married,secondary,no,0,no,no,cellular,28,aug,565,2,-1,0,unknown,dragana,3359458
30,blue-collar,married,secondary,no,971,no,yes,unknown,16,feb,149,1,-1,0,success,linda,3354304
33,retired,married,tertiary,no,2037,no,no,unknown,13,nov,39,2,183,3,unknown,fidda,3352196
27,housemaid,single,secondary,no,0,yes,yes,cellular,28,may,87,1,100,3,unknown,issy,3356412
57,management,single,secondary,no,393,yes,no,cellular,19,aug,415,1,-1,0,success,rosalinda,3353334
37,admin.,married,secondary,no,1287,no,yes,cellular,12,may,279,2,-1,0,success,chanda,3358098
40,management,divorced,tertiary,no,1696,yes,no,cellular,5,jun,667,1,-1,0,unknown,rodge,3350522
43,technician,married,tertiary,no,-76,no,no,unknown,16,aug,83,1,-1,9,failure,faruq,3351091
38,management,married,secondary,no,829,no,no,cellular,28,may,452,1,449,0,failure,hazael,3359226
38,student,married,secondary,no,1289,yes,no,cellular,9,may,1217,5,-1,0,unknown,gertrudes,3356008
52,unemployed,divorced,unknown,no,372,no,no,cellular,2,feb,48,4,-1,2,unknown,luna,3350255
48,housemaid,single,secondary,no,794,yes,no,unknown,9,sep,7,1,-1,3,unknown,khalifa,3357567
45,blue-collar,single,tertiary,no,283,no,no,cellular,14,jun,154,1,75,0,other,omar,3358677
36,technician,married,tertiary,no,778,yes,no,unknown,18,nov,261,2,-1,0,unknown,kinborough,3359223
60,retired,married,primary,no,0,no,no,cellular,29,oct,1360,3,-1,0,unknown,viviette,3357727
